"event","topic","question","options__001","options__002","options__003","options__004","answer","subtopic","difficulty","hint","explanation"
"Astronomy","Exoplanets & Planetary Systems","A planet transiting its star causes what in the observed light curve?","Increase in brightness","Decrease in brightness","No change","Oscillations","Decrease in brightness","","Easy","Blockage of starlight.","During a transit, the planet blocks a fraction of light, causing a dip in the light curve."
"Astronomy","Exoplanets & Planetary Systems","Which of the following is a method to find exoplanets indirectly?","Direct imaging","Transit photometry","Space telescope imaging","Stellar photography","Transit photometry","","Medium","Detect planets by their effect on the star.","Transit photometry detects planets by the light dimming they cause when passing in front of the star."
"Astronomy","Exoplanets & Planetary Systems","Which is true for planets in multi-star systems?","All have circular orbits","Orbits can be stable or unstable","Cannot exist","All are gas giants","Orbits can be stable or unstable","","Hard","Gravitational interactions matter.","Planets in multi-star systems may have stable or unstable orbits depending on stellar distances and configurations."
"Astronomy","Exoplanets & Planetary Systems","Which planet type can be found in both inner and outer planetary systems?","Terrestrial planets","Gas giants","Brown dwarfs","Hot Jupiters","Terrestrial planets","","Medium","Rocky planets can be close or far.","Terrestrial planets are rocky and may exist close or moderately far from their stars."
"Astronomy","Exoplanets & Planetary Systems","The discovery of exoplanets has shown that planetary systems are?","All like our solar system","Highly varied","All have hot Jupiters","Only terrestrial planets","Highly varied","","Medium","Different from early expectations.","Exoplanet discoveries show planetary systems can have a wide range of planet types and orbital configurations."
"Astronomy","Stellar Evolution","What is the primary factor that determines a star's life cycle?","Initial mass","Rotation speed","Chemical composition","Age","Initial mass","","Easy","Mass at birth dictates its future.","A star's initial mass determines its luminosity, lifespan, and final state (white dwarf, neutron star, or black hole)."
"Astronomy","Stellar Evolution","A protostar generates energy mainly through?","Hydrogen fusion","Gravitational collapse","Lithium burning","Nuclear fission","Gravitational collapse","","Easy","Fusion hasn’t started yet.","Before nuclear fusion, a protostar radiates energy from the conversion of gravitational potential energy into heat."
"Astronomy","Stellar Evolution","Main sequence stars primarily fuse which element?","Hydrogen","Helium","Carbon","Oxygen","Hydrogen","","Easy","Most of a star’s life is spent in this phase.","Main sequence stars fuse hydrogen into helium in their cores to generate energy."
"Astronomy","Stellar Evolution","What stage comes after a red giant for a low-mass star?","White dwarf","Neutron star","Black hole","Protostar","White dwarf","","Medium","Star sheds outer layers, leaving a dense core.","Low-mass stars expel their outer layers as planetary nebulae and leave behind a white dwarf."
"Astronomy","Stellar Evolution","High-mass stars end their life as?","White dwarfs","Neutron stars or black holes","Protostars","Red dwarfs","Neutron stars or black holes","","Medium","Depends on how massive the core is.","Stars with initial mass >8 M☉ may form neutron stars or black holes after a supernova."
"Astronomy","Stellar Evolution","What causes a supernova?","Core collapse of massive star","Ignition of hydrogen fusion","Formation of planetary nebula","Stellar rotation","Core collapse of massive star","","Medium","Explosion from core instability.","A supernova occurs when the core of a massive star collapses under gravity, causing a powerful explosion."
"Astronomy","Stellar Evolution","During the red giant phase, what happens to the star's core?","It shrinks and heats up","It expands and cools","It becomes gaseous","It remains the same","It shrinks and heats up","","Medium","Core contracts while outer layers expand.","The core contracts and heats, while the outer layers expand and cool, giving the star a red appearance."
"Astronomy","Stellar Evolution","Which phase is characterized by helium fusion into carbon?","Main sequence","Red giant","Supernova","White dwarf","Red giant","","Medium","Fusion after hydrogen is depleted.","In the red giant phase, the star fuses helium into carbon and oxygen in the core."
"Astronomy","Stellar Evolution","What is the Chandrasekhar limit?","Maximum mass of a white dwarf","Minimum mass of a neutron star","Maximum mass of a star","Mass of Sun","Maximum mass of a white dwarf","","Hard","Approximately 1.44 M☉.","The Chandrasekhar limit (~1.44 M☉) is the maximum mass a white dwarf can have before collapsing into a neutron star."
"Astronomy","Stellar Evolution","What is a planetary nebula?","Ejected outer layers of a star","A small planet forming","A black hole","A red dwarf","Ejected outer layers of a star","","Easy","Not related to planets despite the name.","Planetary nebulae are shells of gas ejected by low- to intermediate-mass stars near the end of their lives."
"Astronomy","Stellar Evolution","Which stars have the longest lifetimes?","Red dwarfs","Blue giants","Sun-like stars","White dwarfs","Red dwarfs","","Easy","Small and cool stars burn fuel slowly.","Red dwarfs burn hydrogen slowly and can live for hundreds of billions of years."
"Astronomy","Stellar Evolution","What is a neutron star primarily composed of?","Neutrons","Protons","Electrons","Hydrogen","Neutrons","","Medium","Densest stable matter.","Neutron stars are extremely dense objects mainly composed of neutrons formed after supernova collapse."
"Astronomy","Stellar Evolution","What is the approximate temperature of the core of the Sun where fusion occurs?","15 million K","5,800 K","1 million K","100 million K","15 million K","","Medium","Much hotter than the surface.","The core of the Sun reaches ~15 million K, allowing hydrogen fusion to occur."
"Astronomy","Stellar Evolution","Which process converts helium into carbon and oxygen in stars?","Triple-alpha process","Proton-proton chain","CNO cycle","Beta decay","Triple-alpha process","","Hard","Helium fusion in red giants.","The triple-alpha process fuses three helium nuclei into carbon, with some forming oxygen."
"Astronomy","Stellar Evolution","Which factor affects how fast a star evolves off the main sequence?","Mass","Color","Distance from Earth","Rotation","Mass","","Medium","Bigger stars burn fuel faster.","Higher-mass stars have shorter lifetimes because they burn fuel at higher rates."
"Astronomy","Stellar Evolution","What is the primary source of energy in a white dwarf?","Residual heat","Nuclear fusion","Gravitational collapse","Chemical reactions","Residual heat","","Medium","Fusion has stopped.","White dwarfs no longer fuse elements; they shine due to residual thermal energy."
"Astronomy","Stellar Evolution","What is a black hole?","An object with gravity so strong not even light can escape","A dark star","A neutron star","A red giant","An object with gravity so strong not even light can escape","","Medium","Event horizon concept.","A black hole is a region of spacetime with gravity strong enough to prevent light from escaping."
"Astronomy","Stellar Evolution","Which phase occurs after helium is exhausted in massive stars?","Carbon fusion","Hydrogen burning","Red giant","White dwarf","Carbon fusion","","Hard","Next stage of fusion in massive stars.","Massive stars fuse heavier elements sequentially: helium → carbon → oxygen → silicon until iron accumulates in the core."
"Astronomy","Stellar Evolution","Which force balances gravity in a main sequence star?","Radiation pressure from fusion","Magnetic pressure","Centrifugal force","Dark energy","Radiation pressure from fusion","","Medium","Prevents collapse during life.","The outward pressure from nuclear fusion balances gravity, keeping the star stable on the main sequence."
"Astronomy","H-R Diagram & Stellar Classification","What are the two axes of the Hertzsprung-Russell diagram?","Luminosity vs Temperature","Mass vs Radius","Distance vs Brightness","Velocity vs Age","Luminosity vs Temperature","","Easy","Think of brightness and heat.","The H-R diagram plots stellar luminosity (or absolute magnitude) on the vertical axis and surface temperature (or spectral type) on the horizontal axis."
"Astronomy","H-R Diagram & Stellar Classification","Which spectral class represents the hottest stars?","O","B","A","M","O","","Easy","Remember OBAFGKM.","O-type stars are the hottest and most massive stars, with blue color."
"Astronomy","H-R Diagram & Stellar Classification","Which spectral class represents cool, red stars?","M","F","G","B","M","","Easy","Coolest in the OBAFGKM sequence.","M-type stars are the coolest, red in color, often red dwarfs or red giants."
"Astronomy","H-R Diagram & Stellar Classification","A star in the upper-left of the H-R diagram is likely:","Hot and luminous","Cool and dim","Hot and dim","Cool and luminous","Hot and luminous","","Medium","Top-left means high luminosity and high temperature.","Upper-left stars are massive, bright, and hot, often O or B type giants or supergiants."
"Astronomy","H-R Diagram & Stellar Classification","Main sequence stars are located along which region of the H-R diagram?","Diagonal from top-left to bottom-right","Top-right corner","Bottom-left corner","Center only","Diagonal from top-left to bottom-right","","Medium","Most stars lie here during their hydrogen-burning phase.","The main sequence runs diagonally from hot, luminous stars to cool, dim stars."
"Astronomy","H-R Diagram & Stellar Classification","Which type of star appears in the lower-left region of the H-R diagram?","White dwarfs","Red giants","Supergiants","Protostars","White dwarfs","","Medium","Hot but low luminosity.","White dwarfs are small, hot, and dim, located in the lower-left of the H-R diagram."
"Astronomy","H-R Diagram & Stellar Classification","The Sun belongs to which spectral type?","G","K","F","M","G","","Easy","Yellow main-sequence star.","The Sun is a G-type main-sequence star (G2V), moderately hot and luminous."
"Astronomy","H-R Diagram & Stellar Classification","Which stellar property is most closely related to a star’s color?","Surface temperature","Mass","Age","Luminosity","Surface temperature","","Easy","Blue vs red color.","Star color indicates surface temperature: blue = hot, red = cool."
"Astronomy","H-R Diagram & Stellar Classification","What does a star’s luminosity measure?","Total energy output per second","Size of the core","Mass","Distance from Earth","Total energy output per second","","Easy","Brightness intrinsic to the star.","Luminosity is the total energy a star emits per unit time."
"Astronomy","H-R Diagram & Stellar Classification","Which class of stars is more luminous than main sequence stars of the same temperature?","Giants","White dwarfs","Red dwarfs","Protostars","Giants","","Medium","They have expanded outer layers.","Giant stars have large radii and therefore higher luminosity at similar temperatures."
"Astronomy","H-R Diagram & Stellar Classification","Which class of stars is less luminous than main sequence stars of the same temperature?","White dwarfs","Red giants","Supergiants","Blue giants","White dwarfs","","Medium","Small but hot stars.","White dwarfs are hot but small, giving them low luminosity."
"Astronomy","H-R Diagram & Stellar Classification","What is the spectral sequence from hottest to coolest stars?","O, B, A, F, G, K, M","M, K, G, F, A, B, O","G, K, M, O, B, A, F","A, B, O, M, K, G, F","O, B, A, F, G, K, M","","Easy","Mnemonic: Oh Be A Fine Girl/Guy, Kiss Me","OBAFGKM is the standard spectral classification from hottest to coolest."
"Astronomy","H-R Diagram & Stellar Classification","What property primarily determines a star's position along the main sequence?","Mass","Age","Rotation","Metallicity","Mass","","Medium","More massive stars are hotter and brighter.","Mass dictates temperature and luminosity, determining a star's main sequence position."
"Astronomy","H-R Diagram & Stellar Classification","A star that moves off the main sequence becomes a:","Giant or supergiant","White dwarf","Protostar","Neutron star","Giant or supergiant","","Medium","Hydrogen burning in the core has ended.","Stars expand into giants or supergiants after exhausting core hydrogen."
"Astronomy","H-R Diagram & Stellar Classification","Which type of star appears in the top-right corner of the H-R diagram?","Red supergiants","Blue dwarfs","White dwarfs","Protostars","Red supergiants","","Medium","Cool but very luminous.","Top-right stars are large, cool, and very luminous, like red supergiants."
"Astronomy","H-R Diagram & Stellar Classification","What does the absolute magnitude of a star represent?","Intrinsic brightness","Apparent brightness","Temperature","Distance","Intrinsic brightness","","Easy","Brightness if all stars were 10 parsecs away.","Absolute magnitude measures a star’s intrinsic brightness independent of distance."
"Astronomy","H-R Diagram & Stellar Classification","Stars cooler than 3,500 K are usually of which color?","Red","Yellow","White","Blue","Red","","Easy","Red dwarfs and giants.","Cool stars emit most energy in red wavelengths, appearing red."
"Astronomy","H-R Diagram & Stellar Classification","Which property is NOT shown on a standard H-R diagram?","Distance","Luminosity","Temperature","Spectral type","Distance","","Easy","H-R diagrams are intrinsic properties only.","H-R diagrams plot intrinsic stellar properties; distance to the star is not shown."
"Astronomy","H-R Diagram & Stellar Classification","What happens to a star’s luminosity as it evolves into a red giant?","Increases","Decreases","Remains the same","Becomes zero","Increases","","Medium","Outer layers expand and brighten.","As a star expands into a red giant, its luminosity increases even though surface temperature decreases."
"Astronomy","","Which method detects exoplanets by observing periodic dimming of a star's light?","Transit method","Radial velocity","Direct imaging","Astrometry","Transit method","Exoplanet Detection","Easy","The star appears slightly dimmer when the planet passes in front of it.","The transit method measures the dip in a star’s brightness caused by a planet crossing in front of it."
"Astronomy","","Which exoplanet type is similar in mass to Jupiter but orbits very close to its star?","Hot Jupiter","Super-Earth","Ice Giant","Neptune-like","Hot Jupiter","Exoplanet Classification","Easy","It is 'hot' because of its proximity to the star.","Hot Jupiters are gas giants with short orbital periods, resulting in high surface temperatures."
"Astronomy","","What is the habitable zone around a star?","Region where liquid water can exist","Region with highest solar radiation","Area with gas giants","Area with icy bodies","Region where liquid water can exist","Planetary Habitability","Easy","It is sometimes called the 'Goldilocks zone'.","The habitable zone is the distance range from a star where conditions allow liquid water on a planet’s surface."
"Astronomy","","Which law relates a planet's orbital period to its distance from its star?","Kepler's Third Law","Newton's Second Law","Ohm's Law","Hubble's Law","Kepler's Third Law","Planetary Motion","Medium","P² ∝ a³","Kepler's Third Law states that the square of a planet’s orbital period is proportional to the cube of the semi-major axis of its orbit."
"Astronomy","","Which type of planet is primarily composed of gases like hydrogen and helium?","Gas giant","Terrestrial planet","Ice giant","Dwarf planet","Gas giant","Planetary Classification","Easy","Examples include Jupiter and Saturn.","Gas giants are large planets with thick atmospheres of hydrogen and helium and little solid surface."
"Astronomy","","What is the primary source of heat for a planet like Venus?","Greenhouse effect","Radioactive decay","Tidal heating","Solar wind","Greenhouse effect","Planetary Atmospheres","Easy","Think about CO2 trapping heat.","Venus is extremely hot due to a thick CO2 atmosphere trapping solar heat, producing a strong greenhouse effect."
"Astronomy","","Which planet has the fastest orbital period around the Sun?","Mercury","Earth","Venus","Mars","Mercury","Solar System","Easy","It is the closest planet to the Sun.","Mercury completes an orbit in about 88 Earth days due to its proximity to the Sun."
"Astronomy","","Which exoplanet detection method measures the star's wobble?","Radial velocity","Transit","Direct imaging","Gravitational microlensing","Radial velocity","Exoplanet Detection","Medium","It uses the Doppler effect.","The radial velocity method detects variations in the star's spectral lines caused by gravitational pull from orbiting planets."
"Astronomy","","Which planet in our Solar System has retrograde rotation?","Venus","Mars","Earth","Jupiter","Venus","Planetary Properties","Medium","Its rotation is opposite to most planets.","Venus rotates clockwise, opposite to most other planets, resulting in retrograde rotation."
"Astronomy","","Which type of exoplanet has a mass between Earth and Neptune?","Super-Earth","Hot Jupiter","Brown Dwarf","Gas Giant","Super-Earth","Exoplanet Classification","Medium","Heavier than Earth, lighter than Neptune.","Super-Earths are exoplanets with a mass larger than Earth's but significantly less than Neptune's."
"Astronomy","","Which exoplanet detection method uses the bending of light by gravity?","Gravitational microlensing","Transit method","Radial velocity","Direct imaging","Gravitational microlensing","Exoplanet Detection","Hard","Einstein's theory of general relativity.","Gravitational microlensing detects exoplanets when a foreground star bends light from a background star, temporarily magnifying it."
"Astronomy","","Which planet has the largest known moon in the Solar System?","Jupiter","Saturn","Earth","Neptune","Jupiter","Moons & Satellites","Medium","Think of Ganymede.","Ganymede, orbiting Jupiter, is the largest moon in the Solar System."
"Astronomy","","Which dwarf planet is located in the Kuiper Belt?","Pluto","Ceres","Eris","Haumea","Pluto","Solar System Objects","Medium","Once considered the ninth planet.","Pluto is a dwarf planet located in the Kuiper Belt beyond Neptune."
"Astronomy","","Which planets have rings in the Solar System?","Saturn, Jupiter, Uranus, Neptune","Earth, Mars, Jupiter","Venus, Mercury","All planets","Saturn, Jupiter, Uranus, Neptune","Planetary Features","Medium","Look beyond Saturn.","Four gas giants have ring systems, though Saturn's are the most prominent."
"Astronomy","","Which planet is considered an ice giant?","Neptune","Jupiter","Mars","Venus","Neptune","Planetary Classification","Medium","It has a thick layer of water, ammonia, and methane ices.","Ice giants like Neptune have heavier volatile substances (ices) in their composition compared to gas giants."
"Astronomy","","Which exoplanet was the first confirmed discovery around a Sun-like star?","51 Pegasi b","Kepler-22b","Proxima Centauri b","Gliese 581g","51 Pegasi b","Historical Discoveries","Medium","Discovered in 1995.","51 Pegasi b was discovered in 1995 using the radial velocity method and was the first exoplanet around a main-sequence star."
"Astronomy","","Which factor primarily determines a planet's surface temperature?","Distance from its star","Mass","Rotation period","Magnetic field","Distance from its star","Planetary Properties","Easy","Closer planets receive more sunlight.","A planet’s surface temperature depends mainly on how much stellar radiation it receives."
"Astronomy","","Which planet has the largest axial tilt?","Uranus","Earth","Mars","Saturn","Uranus","Planetary Properties","Medium","Its rotation axis is almost horizontal.","Uranus has an axial tilt of ~98°, causing extreme seasonal changes."
"Astronomy","","Which planet's atmosphere is mostly nitrogen?","Earth","Venus","Mars","Jupiter","Earth","Atmospheres","Easy","Think about our life-supporting planet.","Earth’s atmosphere is about 78% nitrogen and 21% oxygen."
"Astronomy","","Which process contributes to planetary differentiation?","Separation of layers by density","Magnetic field generation","Tidal heating","Solar wind stripping","Separation of layers by density","Planetary Formation","Medium","Heavy elements sink, light elements rise.","Differentiation occurs when denser materials sink toward a planet’s center and lighter materials rise."
"Astronomy","","Which planet is considered a 'Super-Earth' candidate in exoplanet studies?","Kepler-22b","Jupiter","Venus","Mars","Kepler-22b","Exoplanet Classification","Medium","Larger than Earth, possibly habitable.","Kepler-22b is an exoplanet larger than Earth, located in its star’s habitable zone, making it a Super-Earth candidate."
"Astronomy","","What is the defining feature of a black hole?","Escape velocity greater than the speed of light","High luminosity","Rapid rotation","Strong magnetic field","Escape velocity greater than the speed of light","Black Hole Basics","Easy","Nothing, not even light, can escape.","A black hole is an object with a gravitational pull so strong that its escape velocity exceeds the speed of light."
"Astronomy","","What is the boundary surrounding a black hole called?","Event horizon","Singularity","Accretion disk","Photon sphere","Event horizon","Black Hole Structure","Easy","Crossing it means you cannot return.","The event horizon is the surface beyond which nothing can escape a black hole’s gravity."
"Astronomy","","Which type of black hole forms from the collapse of a massive star?","Stellar-mass black hole","Supermassive black hole","Intermediate black hole","Primordial black hole","Stellar-mass black hole","Black Hole Formation","Easy","It is a result of supernova explosions.","Stellar-mass black holes are formed when massive stars (>20 solar masses) undergo gravitational collapse after a supernova."
"Astronomy","","What is the singularity of a black hole?","Point of infinite density","Outer boundary","Hot accretion disk","Magnetic pole","Point of infinite density","Black Hole Structure","Medium","All mass collapses into a single point.","The singularity is the center of a black hole where gravity and density become infinite."
"Astronomy","","Which black hole type is found at the center of most galaxies?","Supermassive black hole","Stellar-mass black hole","Intermediate black hole","Primordial black hole","Supermassive black hole","Black Hole Classification","Easy","Mass millions to billions of times that of the Sun.","Supermassive black holes reside in galactic centers and can have millions to billions of solar masses."
"Astronomy","","What is the primary method for detecting stellar-mass black holes?","Observing X-ray emission from accretion disks","Direct imaging","Gravitational lensing","Pulsar timing","Observing X-ray emission from accretion disks","Detection Methods","Medium","Material falling into the black hole emits high-energy radiation.","Material heated in the accretion disk emits X-rays, revealing the presence of a black hole."
"Astronomy","","What is Hawking radiation?","Thermal radiation predicted from black holes","X-rays from accretion disks","Radio waves from pulsars","Cosmic microwave background","Thermal radiation predicted from black holes","Black Hole Physics","Hard","It allows black holes to lose mass over time.","Hawking radiation is quantum radiation that allows black holes to slowly evaporate."
"Astronomy","","What is the typical mass range of stellar-mass black holes?","3–20 solar masses","10⁶–10⁹ solar masses","50–500 solar masses","Less than 1 solar mass","3–20 solar masses","Black Hole Properties","Medium","Formed from massive stars.","Stellar-mass black holes typically have masses between 3 and 20 times the Sun."
"Astronomy","","What phenomenon occurs when a star orbits a black hole closely and gets stretched?","Tidal disruption event","Supernova","Nova","Accretion flare","Tidal disruption event","Black Hole Effects","Medium","The star is pulled apart by gravity.","A tidal disruption event happens when the gravitational gradient of a black hole tears a star apart."
"Astronomy","","Which object is denser: a neutron star or a stellar-mass black hole?","Black hole","Neutron star","Both equal","Cannot compare","Black hole","Compact Objects","Medium","Density at singularity is infinite.","Black holes contain a singularity with theoretically infinite density, denser than neutron stars."
"Astronomy","","Which compact object is formed after a supernova of a 8–20 solar mass star?","Neutron star","Black hole","White dwarf","Brown dwarf","Neutron star","Compact Objects","Easy","Not massive enough to form a black hole.","Stars in this mass range collapse into neutron stars after a supernova."
"Astronomy","","What is the fastest known rotating neutron star called?","Pulsar","Magnetar","Quasar","Blazar","Pulsar","Compact Objects","Medium","It emits regular radio pulses.","Pulsars are rapidly rotating neutron stars emitting beams of radiation that appear as pulses."
"Astronomy","","What is the Schwarzschild radius?","Radius of event horizon","Core radius","Accretion disk radius","Photon orbit radius","Radius of event horizon","Black Hole Basics","Medium","Depends on mass of black hole.","The Schwarzschild radius is the radius of the event horizon, proportional to the black hole's mass."
"Astronomy","","Which black hole type has masses between stellar-mass and supermassive?","Intermediate-mass black hole","Primordial black hole","Mini black hole","Quasar","Intermediate-mass black hole","Black Hole Classification","Medium","Ranging 100–10⁵ solar masses.","Intermediate-mass black holes have masses between 100–100,000 solar masses, bridging stellar and supermassive types."
"Astronomy","","Which effect causes gravitational redshift near black holes?","Einstein's general relativity","Doppler effect","Hubble expansion","Lorentz contraction","Einstein's general relativity","Black Hole Physics","Hard","Time and space are warped by gravity.","Strong gravity near black holes stretches light waves, causing gravitational redshift according to general relativity."
"Astronomy","","Which phenomenon allows matter to escape from a neutron star but not a black hole?","Radiation pressure","Magnetic reconnection","Relativistic jets","Hawking radiation","Relativistic jets","Compact Object Effects","Medium","Jets are often seen in X-ray binaries.","Neutron stars and black holes can produce jets, but matter can escape neutron stars via magnetic processes; black holes have a true event horizon."
"Astronomy","","What is a magnetar?","Neutron star with extremely strong magnetic field","White dwarf","Black hole with charge","Pulsar with slow rotation","Neutron star with extremely strong magnetic field","Compact Objects","Medium","Strongest magnetic fields in the universe.","Magnetars are neutron stars with magnetic fields trillions of times stronger than Earth’s."
"Astronomy","","Which process can create black holes in the early universe?","Primordial black hole formation","Supernova","Stellar collapse","Accretion","Primordial black hole formation","Black Hole Formation","Hard","Formed from density fluctuations, not stars.","Primordial black holes may have formed from high-density regions in the early universe before stars existed."
"Astronomy","","Which astronomical observation confirmed the existence of stellar-mass black holes?","X-ray binaries","Gravitational waves","Pulsar timing","Microlensing","X-ray binaries","Observational Evidence","Medium","Look for a normal star orbiting an invisible massive object.","X-ray binaries, where a normal star orbits an unseen compact object emitting X-rays, provide evidence for stellar-mass black holes."
"Astronomy","","Which is more massive: a typical neutron star or a typical stellar-mass black hole?","Stellar-mass black hole","Neutron star","Both equal","Varies randomly","Stellar-mass black hole","Compact Object Properties","Easy","Black holes exceed the Tolman–Oppenheimer–Volkoff limit.","Neutron stars have a maximum mass (~2–3 M☉); objects beyond this limit collapse into black holes."
"Astronomy","","Which black hole property cannot be directly measured?","Singularity density","Mass","Spin","Charge","Singularity density","Black Hole Physics","Hard","The singularity is hidden behind the event horizon.","While mass, spin, and charge can be inferred, the singularity itself cannot be directly observed."
"Astronomy","","What type of radiation is emitted by matter in the accretion disk of a black hole?","X-rays","Radio waves","Infrared","Microwaves","X-rays","Black Hole Effects","Medium","High-energy radiation from hot matter.","Matter falling into a black hole heats up to millions of degrees, emitting X-rays."
"Astronomy","","Which astronomical tool allowed the first image of a black hole?","Event Horizon Telescope","Hubble Space Telescope","Chandra X-ray Observatory","Kepler Telescope","Event Horizon Telescope","Observational Techniques","Hard","It combines radio telescopes worldwide.","The Event Horizon Telescope used very-long-baseline interferometry to capture the first image of a black hole in M87."
"Astronomy","","What is the typical size of a stellar-mass black hole's event horizon?","10–60 km","100 km","1,000 km","10⁶ km","10–60 km","Black Hole Properties","Medium","Depends on mass of a few solar masses.","Stellar-mass black holes have small event horizons, roughly 10–60 km in radius."
"Astronomy","","Which black hole property is measurable via gravitational wave observations?","Mass and spin","Singularity density","Event horizon radius","Magnetic field","Mass and spin","Observational Evidence","Medium","LIGO detected merging black holes.","Gravitational waves from black hole mergers reveal their masses and spins."
